id,url,hostname,size (bytes),size (kilobytes),mimetype
1,https://www.macys.com/,www.macys.com,0,0.0,text/html
2,https://assets.macysassets.com/page/home-page/static/css/carousel-ctrl.7608f93d9c891b06d342.css,assets.macysassets.com,0,0.0,text/css
3,https://assets.macysassets.com/page/home-page/static/css/mcom.b097920404dcb4038b10.css,assets.macysassets.com,0,0.0,text/css
4,https://assets.macysassets.com/page/home-page/static/css/vendors~canvas.22969d27f999937b49c7.css,assets.macysassets.com,0,0.0,text/css
5,https://assets.macysassets.com/page/home-page/static/css/vendors~dynamic-slideshow-ctrl.6ad1fb956323ce6c391a.css,assets.macysassets.com,0,0.0,text/css
6,https://assets.macysassets.com/page/home-page/static/css/vendors~footer.09f550f549f0b44659b0.css,assets.macysassets.com,0,0.0,text/css
7,https://assets.macysassets.com/page/home-page/static/css/vendors~viewCompact~viewMinimalist~viewRadical.a3764e3d32ac27f9bd27.css,assets.macysassets.com,0,0.0,text/css
8,https://assets.macysassets.com/page/home-page/static/css/vendors~viewCompact~viewRadical.425306252d7663c8b168.css,assets.macysassets.com,0,0.0,text/css
9,https://assets.macysassets.com/page/home-page/static/css/vendors~viewFooterResponsive.f1ebc4caa32bc3e086d3.css,assets.macysassets.com,0,0.0,text/css
10,https://assets.macysassets.com/page/home-page/static/css/viewCompact.68656edd78e5c52ee1aa.css,assets.macysassets.com,0,0.0,text/css
11,https://assets.macysassets.com/page/home-page/static/css/viewRadical.58ec252b5ccc3cfcfc40.css,assets.macysassets.com,0,0.0,text/css
12,https://assets.macysassets.com/page/home-page/static/js/home-page.vendor.common.13df968a79bd2962d068.js,assets.macysassets.com,0,0.0,application/javascript
13,https://assets.macysassets.com/page/home-page/static/js/home-page.core.vendor.6baca319875c7fae46bc.js,assets.macysassets.com,0,0.0,application/javascript
14,https://assets.macysassets.com/page/home-page/static/js/home-page.mcom.a7d551f15eb29d21b501.js,assets.macysassets.com,0,0.0,application/javascript
15,https://tags.tiqcdn.com/utag/macys/main/prod/utag.sync.js,tags.tiqcdn.com,0,0.0,text/javascript
16,https://www.macys.com/akam/11/8e389f4,www.macys.com,0,0.0,application/javascript
17,https://assets.macysassets.com/page/home-page/static/css/BrowserVersionMessage.ddfbe993b80a3718f14a.css,assets.macysassets.com,0,0.0,text/css
